# Board: kukui, jacuzzi
dEQP-GLES2.functional.fbo.completeness.renderable.renderbuffer.color0.bgra8_ext,Fail
dEQP-GLES2.functional.fbo.completeness.renderable.renderbuffer.color0.bgra,Fail
dEQP-GLES2.functional.fbo.completeness.renderable.renderbuffer.depth.bgra8_ext,Fail
dEQP-GLES2.functional.fbo.completeness.renderable.renderbuffer.depth.bgra,Fail
dEQP-GLES2.functional.fbo.completeness.renderable.renderbuffer.stencil.bgra8_ext,Fail
dEQP-GLES2.functional.fbo.completeness.renderable.renderbuffer.stencil.bgra,Fail
dEQP-GLES2.functional.fbo.render.color.blend_npot_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.color.blend_npot_rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.color.blend_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.color.blend_rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.color_clear.rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.color_clear.rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.color_clear.rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.depth.npot_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.depth.rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.no_rebind_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.no_rebind_rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.no_rebind_rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.rebind_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.rebind_rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.recreate_colorbuffer.rebind_rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.recreate_depthbuffer.no_rebind_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.recreate_depthbuffer.rebind_rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.recreate_stencilbuffer.no_rebind_rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.recreate_stencilbuffer.rebind_rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.resize.rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.resize.rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.resize.rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.shared_colorbuffer_clear.rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.shared_colorbuffer.rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.shared_colorbuffer.rbo_bgra,Fail
dEQP-GLES2.functional.fbo.render.shared_colorbuffer.rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.shared_depthbuffer.rbo_bgra_depth_component16,Fail
dEQP-GLES2.functional.fbo.render.stencil_clear.rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.stencil.npot_rbo_bgra_stencil_index8,Fail
dEQP-GLES2.functional.fbo.render.stencil.rbo_bgra_stencil_index8,Fail
dEQP-GLES31.functional.debug.negative_coverage.get_error.shader.begin_transform_feedback,Fail
dEQP-GLES31.functional.texture.gather.offset.implementation_offset.2d.depth32f.size_pot.compare_less.repeat_mirrored_repeat,Fail
dEQP-GLES31.functional.texture.gather.offsets.implementation_offset.2d_array.depth32f.size_pot.compare_greater.repeat_mirrored_repeat,Fail
dEQP-GLES31.functional.texture.gather.offsets.min_required_offset.2d.depth32f.size_pot.compare_greater.repeat_mirrored_repeat,Fail
dEQP-GLES31.functional.texture.gather.offsets.min_required_offset.2d.rgba8.size_pot.repeat_mirrored_repeat,Fail
dEQP-GLES3.functional.fbo.completeness.renderable.renderbuffer.color0.bgra8_ext,Fail
dEQP-GLES3.functional.fbo.completeness.renderable.renderbuffer.color0.bgra,Fail
dEQP-GLES3.functional.fbo.completeness.renderable.renderbuffer.depth.bgra8_ext,Fail
dEQP-GLES3.functional.fbo.completeness.renderable.renderbuffer.depth.bgra,Fail
dEQP-GLES3.functional.fbo.completeness.renderable.renderbuffer.stencil.bgra8_ext,Fail
dEQP-GLES3.functional.fbo.completeness.renderable.renderbuffer.stencil.bgra,Fail
dEQP-GLES3.functional.negative_api.shader.begin_transform_feedback,Fail
dEQP-VK.api.device_init.create_device_unsupported_features,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.a8b8g8r8_snorm_pack32_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.b10g11r11_ufloat_pack32_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_snorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_clamp_input_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_clamp_input_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_clamp_input_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_clamp_input_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16a16_unorm_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16b16_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16_sfloat_200x180_sample_count_16,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16_sfloat_200x180_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16_sfloat_200x180_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16_sfloat_64x11_sample_count_16,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16_sfloat_64x11_sample_count_4,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16_sfloat_64x11_sample_count_8,Fail
dEQP-VK.api.image_clearing.core.clear_color_attachment.multiple_layers.r16g16_snorm_200x180_sample_count_16,Fail
